"1" ,"aba-aba"         ,"prentah"
"2"   ,"diberi aba-aba"    ,"diabani"
"3"   ,"minta aba-aba"     ,"abanono"
"4"   ,"abab"              ,"jigong"
"5"   ,"abad"              ,"abad"
6   ,abadi             ,langgeng
7   ,abah              ,bapak
8   ,abai              ,tengke
9   ,diabaikan         ,ora dianggap
10  ,mengabaikan       ,nglirwakake
11  ,abang             ,mas
12  ,abangan           ,kafir
13  ,mengabar          ,ilang ambune
14  ,abdas             ,wudu
15  ,abdi              ,abdi
16  ,mengabdi          ,ngabdi
17  ,abjad             ,aksara
18  ,ablak             ,ngablak
19  ,abnormal          ,ora normal
20  ,abon              ,abon
21  ,abonemen          ,lengganan
22  ,abortus           ,kluron
23  ,abrak             ,bekakas
24  ,abras             ,budhug
25  ,absah             ,resmi
26  ,absen             ,ora teka
27  ,abses             ,nanah
28  ,abu               ,awu
29  ,abu-abu           ,klawu
30  ,acak              ,awur
31  ,acak-acakan       ,awur-awuran
32  ,sering            ,kerep
33  ,acar              ,acar
34  ,acara             ,acara
35  ,acuh              ,nggatekake
36  ,tak acuh          ,ora nggatekake
37  ,mengacung         ,ngacung
38  ,ada               ,ana
39  ,ada-ada saja      ,ana-ana wae
40  ,mengada-ada       ,gawe-gawe
41  ,keadaan           ,keadaan
42  ,diadakan          ,dianakake
43  ,mengadakan        ,nganakake
44  ,seadanya          ,sak anane
45  ,adab              ,unggah-ungguh
46  ,adakalanya        ,anakalane
47  ,adalah atau yaitu ,yaiku
48  ,adan atau adzan   ,adan
49  ,adang             ,cegat
50  ,diadang           ,dicegat
51  ,mengadang         ,nyegat
52  ,adat              ,adat
53  ,adegan            ,adegan
54  ,adem atau dingin  ,adhem
55  ,adigung           ,adigung
56  ,adik              ,adhi
57  ,adik saya         ,adhiku
58  ,adil              ,adil
59  ,adinda            ,adhimas
60  ,adipati           ,adipati
61  ,administrasi      ,administrasi
62  ,admiral           ,Senapati lautan
63  ,mengadoni         ,ngadoni
64  ,adonan            ,adonan
65  ,adpertensi        ,iklan
66  ,adres             ,alamat
67  ,adu atau lomba    ,adu
68  ,aduan             ,adon
69  ,beradu            ,gathuk
70  ,mengadu           ,ngedu
71  ,peraduan          ,peturon
72  ,aduh              ,adhuh
73  ,aduhai            ,dhuh
74  ,aduk              ,adhuk
75  ,mengaduk          ,ngadhuk
76  ,mengaduk-aduk     ,ngadhuk-adhuk
77  ,advis             ,pitutur
